explanation_idx,positional_row_id,source_row_uid,raw_id,label,source_file
0,41527,UNSW_NB15_testing-set.csv#id=041577,41577,0,UNSW_NB15_testing-set.csv
1,79374,UNSW_NB15_testing-set.csv#id=079958,79958,0,UNSW_NB15_testing-set.csv
2,36052,UNSW_NB15_testing-set.csv#id=036102,36102,0,UNSW_NB15_testing-set.csv
3,42019,UNSW_NB15_testing-set.csv#id=042069,42069,0,UNSW_NB15_testing-set.csv
4,67288,UNSW_NB15_testing-set.csv#id=067872,67872,0,UNSW_NB15_testing-set.csv
5,42139,UNSW_NB15_testing-set.csv#id=042189,42189,0,UNSW_NB15_testing-set.csv
6,38602,UNSW_NB15_testing-set.csv#id=038652,38652,0,UNSW_NB15_testing-set.csv
7,30160,UNSW_NB15_testing-set.csv#id=030210,30210,0,UNSW_NB15_testing-set.csv
8,42842,UNSW_NB15_testing-set.csv#id=042892,42892,0,UNSW_NB15_testing-set.csv
9,35408,UNSW_NB15_testing-set.csv#id=035458,35458,0,UNSW_NB15_testing-set.csv
10,73105,UNSW_NB15_testing-set.csv#id=073689,73689,0,UNSW_NB15_testing-set.csv
11,31937,UNSW_NB15_testing-set.csv#id=031987,31987,0,UNSW_NB15_testing-set.csv
12,34455,UNSW_NB15_testing-set.csv#id=034505,34505,0,UNSW_NB15_testing-set.csv
13,66956,UNSW_NB15_testing-set.csv#id=067540,67540,0,UNSW_NB15_testing-set.csv
14,81650,UNSW_NB15_testing-set.csv#id=082234,82234,0,UNSW_NB15_testing-set.csv
15,65895,UNSW_NB15_testing-set.csv#id=066479,66479,0,UNSW_NB15_testing-set.csv
16,68086,UNSW_NB15_testing-set.csv#id=068670,68670,0,UNSW_NB15_testing-set.csv
17,42771,UNSW_NB15_testing-set.csv#id=042821,42821,0,UNSW_NB15_testing-set.csv
18,70034,UNSW_NB15_testing-set.csv#id=070618,70618,0,UNSW_NB15_testing-set.csv
19,65990,UNSW_NB15_testing-set.csv#id=066574,66574,0,UNSW_NB15_testing-set.csv
20,43447,UNSW_NB15_testing-set.csv#id=043497,43497,0,UNSW_NB15_testing-set.csv
21,35706,UNSW_NB15_testing-set.csv#id=035756,35756,0,UNSW_NB15_testing-set.csv
22,65370,UNSW_NB15_testing-set.csv#id=065954,65954,0,UNSW_NB15_testing-set.csv
23,26499,UNSW_NB15_testing-set.csv#id=026549,26549,0,UNSW_NB15_testing-set.csv
24,31194,UNSW_NB15_testing-set.csv#id=031244,31244,0,UNSW_NB15_testing-set.csv
